Song Name ,Lyrics ,Composer,Lyricist ,Star,Album ,Year,Metaphor,Source Domain ,Target Domain ,Type of Metaphor ,Interpretation
ஆசை ஆசை,ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது தலை முதல் கால் வரை இப்பொழுது நீ தவறுகள் செய்வது எப்பொழுது ம்ம்.. இடைவெளி குறைந்தது இப்பொழுது உன் இதழ்களை துவைப்பது எப்பொழுது அருகம்புல் ஆகிறேன் இப்பொழுது அதை ஆடு தான் மேய்வது எப்பொழுது திருவிழா ஆகிறேன் இப்பொழுது நீ எனக்குள் தொலைவது எப்பொழுது . ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை புல்வெளி ஆகிறேன் இப்பொழுது நீ பனித்துளி ஆவது எப்பொழுது ஆ கொட்டும் மழை நான் இப்பொழுது உன் குடிநீராவது எப்பொழுது கிணற்றில் சூரியன் இப்பொழுது உன் கிழக்கில் உதிப்பது எப்பொழுது புடவை கருவில் இப்பொழுது நீ புதிதாய் திறப்பது எப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது பெண் : மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது,வித்யாசாகர்,பா விஜய்,விக்ரம்,தூள்,2003,மலையாய் எழுந்தேன்,மழை ,ஆண் ,குணம் சார்,உறுதியான நிலை
ஆசை ஆசை,ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது தலை முதல் கால் வரை இப்பொழுது நீ தவறுகள் செய்வது எப்பொழுது ம்ம்.. இடைவெளி குறைந்தது இப்பொழுது உன் இதழ்களை துவைப்பது எப்பொழுது அருகம்புல் ஆகிறேன் இப்பொழுது அதை ஆடு தான் மேய்வது எப்பொழுது திருவிழா ஆகிறேன் இப்பொழுது நீ எனக்குள் தொலைவது எப்பொழுது . ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை புல்வெளி ஆகிறேன் இப்பொழுது நீ பனித்துளி ஆவது எப்பொழுது ஆ கொட்டும் மழை நான் இப்பொழுது உன் குடிநீராவது எப்பொழுது கிணற்றில் சூரியன் இப்பொழுது உன் கிழக்கில் உதிப்பது எப்பொழுது புடவை கருவில் இப்பொழுது நீ புதிதாய் திறப்பது எப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது பெண் : மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது,வித்யாசாகர்,பா விஜய்,விக்ரம்,தூள்,2003,மணலாய் விரிந்தேன்,மணல் ,ஆண் ,குணம் சார்,பரந்த தன்மை
ஆசை ஆசை,ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது தலை முதல் கால் வரை இப்பொழுது நீ தவறுகள் செய்வது எப்பொழுது ம்ம்.. இடைவெளி குறைந்தது இப்பொழுது உன் இதழ்களை துவைப்பது எப்பொழுது அருகம்புல் ஆகிறேன் இப்பொழுது அதை ஆடு தான் மேய்வது எப்பொழுது திருவிழா ஆகிறேன் இப்பொழுது நீ எனக்குள் தொலைவது எப்பொழுது . ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை புல்வெளி ஆகிறேன் இப்பொழுது நீ பனித்துளி ஆவது எப்பொழுது ஆ கொட்டும் மழை நான் இப்பொழுது உன் குடிநீராவது எப்பொழுது கிணற்றில் சூரியன் இப்பொழுது உன் கிழக்கில் உதிப்பது எப்பொழுது புடவை கருவில் இப்பொழுது நீ புதிதாய் திறப்பது எப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது பெண் : மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது,வித்யாசாகர்,பா விஜய்,விக்ரம்,தூள்,2003,அருகம்புல் ஆகிறேன்,அருகம்புல் ,ஆண் ,குணம் சார்,அனுசரிக்கும் தன்மை
ஆசை ஆசை,ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது தலை முதல் கால் வரை இப்பொழுது நீ தவறுகள் செய்வது எப்பொழுது ம்ம்.. இடைவெளி குறைந்தது இப்பொழுது உன் இதழ்களை துவைப்பது எப்பொழுது அருகம்புல் ஆகிறேன் இப்பொழுது அதை ஆடு தான் மேய்வது எப்பொழுது திருவிழா ஆகிறேன் இப்பொழுது நீ எனக்குள் தொலைவது எப்பொழுது . ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை புல்வெளி ஆகிறேன் இப்பொழுது நீ பனித்துளி ஆவது எப்பொழுது ஆ கொட்டும் மழை நான் இப்பொழுது உன் குடிநீராவது எப்பொழுது கிணற்றில் சூரியன் இப்பொழுது உன் கிழக்கில் உதிப்பது எப்பொழுது புடவை கருவில் இப்பொழுது நீ புதிதாய் திறப்பது எப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது பெண் : மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது,வித்யாசாகர்,பா விஜய்,விக்ரம்,தூள்,2003,திருவிழா ஆகிறேன்,திருவிழா ,ஆண் ,குணம் சார்,கொண்டாட்ட மனநிலை 
ஆசை ஆசை,ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது தலை முதல் கால் வரை இப்பொழுது நீ தவறுகள் செய்வது எப்பொழுது ம்ம்.. இடைவெளி குறைந்தது இப்பொழுது உன் இதழ்களை துவைப்பது எப்பொழுது அருகம்புல் ஆகிறேன் இப்பொழுது அதை ஆடு தான் மேய்வது எப்பொழுது திருவிழா ஆகிறேன் இப்பொழுது நீ எனக்குள் தொலைவது எப்பொழுது . ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை புல்வெளி ஆகிறேன் இப்பொழுது நீ பனித்துளி ஆவது எப்பொழுது ஆ கொட்டும் மழை நான் இப்பொழுது உன் குடிநீராவது எப்பொழுது கிணற்றில் சூரியன் இப்பொழுது உன் கிழக்கில் உதிப்பது எப்பொழுது புடவை கருவில் இப்பொழுது நீ புதிதாய் திறப்பது எப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது பெண் : மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது,வித்யாசாகர்,பா விஜய்,விக்ரம்,தூள்,2003,புல்வெளி ஆகிறேன்இப்பொழுது நீ பனித்துளிஆவது எப்பொழுது,புல்வெளி ,ஆண் ,குணம் சார்,பரந்த தன்மை
ஆசை ஆசை,ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது தலை முதல் கால் வரை இப்பொழுது நீ தவறுகள் செய்வது எப்பொழுது ம்ம்.. இடைவெளி குறைந்தது இப்பொழுது உன் இதழ்களை துவைப்பது எப்பொழுது அருகம்புல் ஆகிறேன் இப்பொழுது அதை ஆடு தான் மேய்வது எப்பொழுது திருவிழா ஆகிறேன் இப்பொழுது நீ எனக்குள் தொலைவது எப்பொழுது . ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை புல்வெளி ஆகிறேன் இப்பொழுது நீ பனித்துளி ஆவது எப்பொழுது ஆ கொட்டும் மழை நான் இப்பொழுது உன் குடிநீராவது எப்பொழுது கிணற்றில் சூரியன் இப்பொழுது உன் கிழக்கில் உதிப்பது எப்பொழுது புடவை கருவில் இப்பொழுது நீ புதிதாய் திறப்பது எப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது பெண் : மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது,வித்யாசாகர்,பா விஜய்,விக்ரம்,தூள்,2003,புல்வெளி ஆகிறேன்இப்பொழுது நீ பனித்துளிஆவது எப்பொழுது,பனித்துளி ,ஆண் ,குணம் சார்,தழுவும் பொருள் 
ஆசை ஆசை,ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது தலை முதல் கால் வரை இப்பொழுது நீ தவறுகள் செய்வது எப்பொழுது ம்ம்.. இடைவெளி குறைந்தது இப்பொழுது உன் இதழ்களை துவைப்பது எப்பொழுது அருகம்புல் ஆகிறேன் இப்பொழுது அதை ஆடு தான் மேய்வது எப்பொழுது திருவிழா ஆகிறேன் இப்பொழுது நீ எனக்குள் தொலைவது எப்பொழுது . ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை புல்வெளி ஆகிறேன் இப்பொழுது நீ பனித்துளி ஆவது எப்பொழுது ஆ கொட்டும் மழை நான் இப்பொழுது உன் குடிநீராவது எப்பொழுது கிணற்றில் சூரியன் இப்பொழுது உன் கிழக்கில் உதிப்பது எப்பொழுது புடவை கருவில் இப்பொழுது நீ புதிதாய் திறப்பது எப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது பெண் : மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது,வித்யாசாகர்,பா விஜய்,விக்ரம்,தூள்,2003,கொட்டும்மழை நான் இப்பொழுதுஉன் குடிநீராவது எப்பொழுது,மழை ,ஆண் ,குணம் சார்,பயனில்லா நிலை 
ஆசை ஆசை,ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது தலை முதல் கால் வரை இப்பொழுது நீ தவறுகள் செய்வது எப்பொழுது ம்ம்.. இடைவெளி குறைந்தது இப்பொழுது உன் இதழ்களை துவைப்பது எப்பொழுது அருகம்புல் ஆகிறேன் இப்பொழுது அதை ஆடு தான் மேய்வது எப்பொழுது திருவிழா ஆகிறேன் இப்பொழுது நீ எனக்குள் தொலைவது எப்பொழுது . ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை ஆசை புல்வெளி ஆகிறேன் இப்பொழுது நீ பனித்துளி ஆவது எப்பொழுது ஆ கொட்டும் மழை நான் இப்பொழுது உன் குடிநீராவது எப்பொழுது கிணற்றில் சூரியன் இப்பொழுது உன் கிழக்கில் உதிப்பது எப்பொழுது புடவை கருவில் இப்பொழுது நீ புதிதாய் திறப்பது எப்பொழுது ஆசை ஆசை இப்பொழுது பேராசை இப்பொழுது ஆசை தீரும் காலம் எப்பொழுது கண்ணால் உன்னால் இப்பொழுது காயங்கள் இப்பொழுது காயம் தீரும் காலம் எப்பொழுது மலையாய் எழுந்தேன் நான் இப்பொழுது பெண் : மணலாய் விரிந்தேன் நான் இப்பொழுது சுவடை பதித்தாய் நீ இப்பொழுது,வித்யாசாகர்,பா விஜய்,விக்ரம்,தூள்,2003,கிணற்றில் சூரியன்இப்பொழுது உன் கிழக்கில்உதிப்பது எப்பொழுது,சூரியன் ,ஆண் ,குணம் சார்,பயனில்லா நிலை 
அழகூரில் பூத்தவளே,அழகூரில் பூத்தவளே என்னை அடியோடு சாய்த்தவளே மழையூரின் சாரலிலே என்னை மார்போடு சேர்த்தவளே  உனை அள்ளித்தானே உயிர் நூலில் கோர்ப்பேன் உயிர் நூலில் கோர்த்து உதிராமல் காப்பேன்  அழகூரில் பூத்தவளே என்னை அடியோடு சாய்த்தவளே  ஹ்ம்ம் ஹ்ம்ம் ஹ்ம்ம் ஹ்ம்ம்  நீ உடுத்தி போட்ட உடை என் வயதை மேயுமடா நீ சுருட்டி போட்ட முடி மோதிரமாய் ஆகுமடி  இமையாலே நீ கிருக்க இதழாலே நான் அழிக்க கூச்சம் இங்கே கூச்சப்பட்டு போகிறதே  சடையாலே நீ இழுக்க இடைமேலே நான் வழுக்க காய்ச்சலுக்கும் காய்ச்சல் வந்து வேகிறதே  என்னை திரியாக்கி உன்னில் விளக்கேற்றி எந்நாளும் காத்திருப்பேன்  ஹோய் ஹோய் அழகூரில் பூத்தவளே என்னை அடியோடு சாய்த்தவளே  நீ முறிக்கும் சோம்பலிலே நான் ஒடிஞ்சு சாஞ்சிடுவேன் நீ இழுக்கும் மூச்சுக்குள்ளே நான் இறங்கி தூங்கிடுவேன்  குறிலாக நான் இருக்க நெடிலாக நீ வளர்க்க சென்னை தமிழ் சங்கத்தமிழ் ஆனதடி  அறியாமல் நான் இருக்க அழகாக நீ திறக்க காதல் மழை ஆயுள் வரை தூருமடா  என்னை மறந்தாலும் உன்னை மறவாத நெஞ்சோடு நானிருப்பேன்  ஹோய் ஹோய் ஹோய் அன்பூரில் பூத்தவனே ஹ்ம்ம் ஹ்ம்ம் என்னை அடியோடு சாய்த்தவளே ஹ்ம்ம் ஹ்ம்ம் ஹ்ம்ம் மழையூரின் சாரலிலே ஹ்ம்ம் ஹ்ம்ம் என்னை மார்போடு சேர்த்தவளே  உனை அள்ளித்தானே உயிர் நூலில் கோர்ப்பேன் உயிர் நூலில் கோர்த்து உதிராமல் காப்பேன்,வித்யாசாகர்,பா விஜய்,விஜய்,திருமலை,2003,நீ சுருட்டி போட்ட முடி மோதிரமாய் ஆகுமடி,மோதிரம் ,சூடிய முடி ,பேச்சு உருவகம் ,பெண் சார்ந்த பொருளின் பெறுமதி 
அழகூரில் பூத்தவளே,அழகூரில் பூத்தவளே என்னை அடியோடு சாய்த்தவளே மழையூரின் சாரலிலே என்னை மார்போடு சேர்த்தவளே  உனை அள்ளித்தானே உயிர் நூலில் கோர்ப்பேன் உயிர் நூலில் கோர்த்து உதிராமல் காப்பேன்  அழகூரில் பூத்தவளே என்னை அடியோடு சாய்த்தவளே  ஹ்ம்ம் ஹ்ம்ம் ஹ்ம்ம் ஹ்ம்ம்  நீ உடுத்தி போட்ட உடை என் வயதை மேயுமடா நீ சுருட்டி போட்ட முடி மோதிரமாய் ஆகுமடி  இமையாலே நீ கிருக்க இதழாலே நான் அழிக்க கூச்சம் இங்கே கூச்சப்பட்டு போகிறதே  சடையாலே நீ இழுக்க இடைமேலே நான் வழுக்க காய்ச்சலுக்கும் காய்ச்சல் வந்து வேகிறதே  என்னை திரியாக்கி உன்னில் விளக்கேற்றி எந்நாளும் காத்திருப்பேன்  ஹோய் ஹோய் அழகூரில் பூத்தவளே என்னை அடியோடு சாய்த்தவளே  நீ முறிக்கும் சோம்பலிலே நான் ஒடிஞ்சு சாஞ்சிடுவேன் நீ இழுக்கும் மூச்சுக்குள்ளே நான் இறங்கி தூங்கிடுவேன்  குறிலாக நான் இருக்க நெடிலாக நீ வளர்க்க சென்னை தமிழ் சங்கத்தமிழ் ஆனதடி  அறியாமல் நான் இருக்க அழகாக நீ திறக்க காதல் மழை ஆயுள் வரை தூருமடா  என்னை மறந்தாலும் உன்னை மறவாத நெஞ்சோடு நானிருப்பேன்  ஹோய் ஹோய் ஹோய் அன்பூரில் பூத்தவனே ஹ்ம்ம் ஹ்ம்ம் என்னை அடியோடு சாய்த்தவளே ஹ்ம்ம் ஹ்ம்ம் ஹ்ம்ம் மழையூரின் சாரலிலே ஹ்ம்ம் ஹ்ம்ம் என்னை மார்போடு சேர்த்தவளே  உனை அள்ளித்தானே உயிர் நூலில் கோர்ப்பேன் உயிர் நூலில் கோர்த்து உதிராமல் காப்பேன்,வித்யாசாகர்,பா விஜய்,விஜய்,திருமலை,2003,என்னை திரியாக்கி உன்னில் விளக்கேற்றி,திரி ,ஆண் ,பயன் சார் ,காதலுக்காய் ஆணின் அர்ப்பணிப்பு 
